scene_id,scene_name,target_shape,rank,snr,snr_value,method,params,fit_time_sec,RMSE,SAM,NMSE_dB
7,egyptian_statue,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,21.075870600005146,0.014203635044395924,25.677150890263363,-16.979525938516073
7,egyptian_statue,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,156.20305829998688,0.013502688147127628,25.24106333611802,-17.419111399022178
7,egyptian_statue,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,25.11306119998335,0.014256739057600498,26.516385269624124,-16.947112043938752
7,egyptian_statue,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,167.0372733999975,0.013549542054533958,25.654569948656828,-17.38902369370055
8,face,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,25.40036179998424,0.017544616013765335,14.988939421864096,-18.748178211174068
8,face,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,147.4936091999989,0.016041867434978485,13.099851001944037,-19.525958068285348
8,face,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,20.48885120000341,0.01754465326666832,14.988900002657147,-18.748159717160462
8,face,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,145.9425387000083,0.016041630879044533,13.100477438033078,-19.526085720776432
8,face,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,20.25613940000767,0.01755344122648239,15.0094635744225,-18.743810960353404
8,face,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,146.4851273999957,0.01604839414358139,13.093210444777656,-19.522424454536367
8,face,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,20.979441800009226,0.017562948167324066,15.050149125128328,-18.739108018798152
8,face,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,152.90745090000564,0.016054080799221992,13.103480956965676,-19.51934739139689
8,face,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,25.352336299984017,0.017660751938819885,15.356639681640246,-18.690872280715585
8,face,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,167.60636589999194,0.01613893173635006,13.091493248220287,-19.473560442342844
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,24.877237200009404,0.02063523605465889,2.3334520820769122,-24.34236398278621
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,146.77535660000285,0.019960686564445496,2.250912388209676,-24.631043130319373
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,20.44812409998849,0.02063572406768799,2.3336251107706296,-24.342158141553554
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,145.20190549999825,0.019961722195148468,2.2510583881066633,-24.630592298457984
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,22.171090999996522,0.020640337839722633,2.3483082311650536,-24.34021645882398
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,143.04449129998102,0.01996798813343048,2.2509851034433535,-24.627866570441185
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,22.193544700014172,0.02067583240568638,2.41439415738356,-24.3252922907352
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,155.0811171999958,0.019992319867014885,2.260072116140438,-24.61728815001549
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,25.24540019998676,0.021073294803500175,2.6078041993337067,-24.159903736455682
9,fake_and_real_beers,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,167.692132199998,0.020355386659502983,2.305087892521537,-24.46096522196353
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,24.70994190001511,0.03223519027233124,19.79450203327825,-12.842914803598923
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,147.3770071999752,0.02921515330672264,17.94087706826181,-13.697356469852442
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,21.755431800003862,0.03223525732755661,19.797715940828557,-12.842897368554096
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,141.11953840000206,0.02921527437865734,17.9453704948519,-13.697320461613272
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,21.809985400002915,0.03223566710948944,19.78485083366314,-12.842786844451734
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,144.03852869998082,0.02921523153781891,17.933428402432714,-13.69733334873825
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,22.761983500007773,0.032240234315395355,19.814103762376902,-12.841556325224474
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,153.41526880001766,0.029219798743724823,17.946872402032454,-13.695975483467727
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,25.76367489999393,0.0322851799428463,19.93128675661658,-12.829456182944874
10,fake_and_real_food,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,166.95284750001156,0.02928277850151062,18.11273311427614,-13.677274283323026
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,26.334233000001404,0.029952289536595345,15.964653671536514,-12.028802111035507
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,147.86158239998622,0.026693157851696014,15.939053996803851,-13.029403951755402
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,22.525756599992746,0.02995205670595169,15.961620330894045,-12.028869739467247
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,147.7762420999934,0.026693731546401978,15.93596460263974,-13.029217080144683
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,21.93195649998961,0.029952125623822212,15.955805770572988,-12.02885012195113
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,147.34414460000698,0.02669391967356205,15.937315037605618,-13.029155658014552
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,22.084056699997745,0.029968924820423126,16.09113740758344,-12.023979461225682
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,158.4702576000127,0.026684779673814774,16.015225887045503,-13.032130266513889
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,25.151660800009267,0.030173808336257935,22.04166108001828,-11.964800310125497
11,fake_and_real_lemon_slices,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,164.66066140000476,0.026745598763227463,21.483100230039653,-13.012356371745565
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,24.265843999979552,0.013295472599565983,7.0601176331945075,-21.148165721657914
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,141.5159421999997,0.012618504464626312,6.859403072659617,-21.60208354434232
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,22.769510000012815,0.013295651413500309,7.061783653081211,-21.148048495328247
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,146.1705965999863,0.012617952190339565,6.8591621383846455,-21.60246317080112
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,21.62282280001091,0.013296876102685928,7.063586040743626,-21.1472485430328
