scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,observed_count,x_min,x_max,x_mean,design_cond_raw,design_cond_scaled,polycal_fit_time_sec,a_0,a_1,a_2,a_3,a_4
4,chart_and_stuffed_toy,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.10363610088825226,1.1171525716781616,0.15840049445831464,118.38247903220946,43.10901679623623,0.2950215998571366,0.0018999140509210351,0.934898774613423,0.20925669424032953,-0.1577286472969981,
4,chart_and_stuffed_toy,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.10363610088825226,1.1171525716781616,0.15840049445831464,621.3087773954738,222.65733928384032,0.3618415999226272,0.002313868111039431,0.9118280040775164,0.3542198518785503,-0.4253625490664024,0.14869629217972263
5,clay,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.053031567484140396,1.0859055519104004,0.07102754362554725,46.23807053321881,7.3343594472039415,0.2694629000034183,0.00040003675481628325,0.9892554113844683,0.01958237865448474,,
5,clay,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.053031567484140396,1.0859055519104004,0.07102754362554725,241.66026241019057,31.28427158035393,0.2985802998300642,0.0008834135405970283,0.9544554177359525,0.17002634569501612,-0.15076703536376568,
5,clay,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.053031567484140396,1.0859055519104004,0.07102754362554725,1176.147798439756,123.77763158610207,0.3602214998099953,0.0014061001823723672,0.9060809889541152,0.5414195636748419,-0.9815390304437221,0.5549668223161124
6,cloth,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.10756538063287735,0.886471152305603,0.1760818327185868,49.07226245162635,10.052020034942975,0.28353150002658367,0.002950148086759026,0.9603215441296501,0.08247850135179345,,
6,cloth,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.10756538063287735,0.886471152305603,0.1760818327185868,288.40231928832435,36.06226957972295,0.40742970001883805,0.01139214418179591,0.7560743399032064,1.0587487434446292,-1.1783479825792975,
6,cloth,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.10756538063287735,0.886471152305603,0.1760818327185868,1727.009791828103,141.41766402755925,0.3799459000583738,0.01819853689673223,0.48067378933591887,3.3210636580207273,-7.207927432633288,4.935817190345036
7,egyptian_statue,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.06196187064051628,1.0292999744415283,0.0421736948122736,72.94437217506635,5.728207689268563,0.2662563999183476,0.00015694547121315592,0.9937107705003659,0.015355253761992016,,
7,egyptian_statue,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.06196187064051628,1.0292999744415283,0.0421736948122736,496.26004101502,25.39746950263186,0.32554120011627674,0.0002455277986180192,0.9843369393996719,0.07894240871023214,-0.08944959255869485,
7,egyptian_statue,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.06196187064051628,1.0292999744415283,0.0421736948122736,2381.9384890417214,89.33036683375988,0.38773659989237785,0.000337312843423731,0.9708394722975686,0.22625582408115083,-0.5270448622705667,0.38175035168382115
8,face,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.06768634915351868,0.9586488008499146,0.08291458834430551,51.19101794648721,6.730721580990132,0.2982016000896692,0.0001024748916160282,0.9977718159492022,0.004747081040873478,,
8,face,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.06768634915351868,0.9586488008499146,0.08291458834430551,343.0332473847208,30.798481353859895,0.3137446001637727,0.000498286831188852,0.975870528424526,0.12467671704844766,-0.1478767827713272,
8,face,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.06768634915351868,0.9586488008499146,0.08291458834430551,2025.1295435310967,132.00817046634305,0.3632795000448823,0.0008078603325241022,0.9527427258174631,0.3360078863981821,-0.7255362418830542,0.4752824533822762
9,fake_and_real_beers,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.014372524805366993,1.172218918800354,0.3040470053729836,32.639921183003885,12.957921006821348,0.2792342999018729,0.00020053278859998486,0.9985492149966956,0.0021111967308636644,,
