panel,seed,P,Tucker,NTD-PL,gain_rmse
exp,2,2,0.22711636126041412,0.1405266374349594,0.08658972382545471
exp,2,3,0.22711636126041412,0.10422443598508835,0.12289192527532578
exp,2,4,0.22711636126041412,0.09999094158411026,0.12712541967630386
exp,2,5,0.22711636126041412,0.09962034970521927,0.12749601155519485
exp,2,6,0.22711636126041412,0.09964743256568909,0.12746892869472504
exp,3,1,0.20822255313396454,0.20504750311374664,0.0031750500202178955
exp,3,2,0.20822255313396454,0.1344296634197235,0.07379288971424103
exp,3,3,0.20822255313396454,0.11286318302154541,0.09535937011241913
exp,3,4,0.20822255313396454,0.1117066815495491,0.09651587158441544
exp,3,5,0.20822255313396454,0.11184259504079819,0.09637995809316635
exp,3,6,0.20822255313396454,0.10997163504362106,0.09825091809034348
exp,4,1,0.17176035046577454,0.17124660313129425,0.0005137473344802856
exp,4,2,0.17176035046577454,0.12447399646043777,0.04728635400533676
exp,4,3,0.17176035046577454,0.11345396935939789,0.05830638110637665
exp,4,4,0.17176035046577454,0.10516776889562607,0.06659258157014847
exp,4,5,0.17176035046577454,0.10455542057752609,0.06720492988824844
exp,4,6,0.17176035046577454,0.10397849231958389,0.06778185814619064
exp,5,1,0.25721675157546997,0.24952922761440277,0.0076875239610672
exp,5,2,0.25721675157546997,0.1148781031370163,0.14233864843845367
exp,5,3,0.25721675157546997,0.08878827840089798,0.168428473174572
exp,5,4,0.25721675157546997,0.08581499755382538,0.1714017540216446
exp,5,5,0.25721675157546997,0.0856202244758606,0.17159652709960938
exp,5,6,0.25721675157546997,0.08527880162000656,0.1719379499554634
exp,6,1,0.3728255331516266,0.3582562506198883,0.014569282531738281
exp,6,2,0.3728255331516266,0.17334628105163574,0.19947925209999084
exp,6,3,0.3728255331516266,0.1591958999633789,0.21362963318824768
exp,6,4,0.3728255331516266,0.15809711813926697,0.21472841501235962
exp,6,5,0.3728255331516266,0.15812605619430542,0.21469947695732117
exp,6,6,0.3728255331516266,0.15748871862888336,0.21533681452274323
exp,7,1,0.34694692492485046,0.3465852439403534,0.0003616809844970703
exp,7,2,0.34694692492485046,0.24194684624671936,0.1050000786781311
exp,7,3,0.34694692492485046,0.215521439909935,0.13142548501491547
exp,7,4,0.34694692492485046,0.210253044962883,0.13669387996196747
exp,7,5,0.34694692492485046,0.2085687667131424,0.13837815821170807
exp,7,6,0.34694692492485046,0.20781417191028595,0.13913275301456451
exp,8,1,0.2017054259777069,0.19694964587688446,0.004755780100822449
exp,8,2,0.2017054259777069,0.13015294075012207,0.07155248522758484
exp,8,3,0.2017054259777069,0.12159311026334763,0.08011231571435928
exp,8,4,0.2017054259777069,0.12053845822811127,0.08116696774959564
exp,8,5,0.2017054259777069,0.1195150688290596,0.08219035714864731
exp,8,6,0.2017054259777069,0.11939507722854614,0.08231034874916077
exp,9,1,0.1685626208782196,0.16675513982772827,0.001807481050491333
exp,9,2,0.1685626208782196,0.1321284919977188,0.03643412888050079
exp,9,3,0.1685626208782196,0.110710009932518,0.0578526109457016
exp,9,4,0.1685626208782196,0.10104100406169891,0.06752161681652069
exp,9,5,0.1685626208782196,0.0972585529088974,0.0713040679693222
exp,9,6,0.1685626208782196,0.09606393426656723,0.07249868661165237
